Game,Viewers,Tags
Discussions,"210,9 k spectateurs",['IRL']
Counter-Strike,"190,8 k spectateurs","['FPS', 'Jeux de tir', 'Action']"
Grand Theft Auto V,"142,3 k spectateurs","['FPS', 'Jeux de tir']"
League of Legends,"122,5 k spectateurs","['Jeu de rôle', 'Stratégie']"
Call of Duty: Black Ops 6,"100,6 k spectateurs","['FPS', 'Jeux de tir', 'Action']"
Dota 2,"75,8 k spectateurs","['Stratégie', 'MOBA']"
Minecraft,"64,1 k spectateurs",['Simulation']
VALORANT,"62,3 k spectateurs","['FPS', 'Jeux de tir', 'Action']"
Apex Legends,"56,2 k spectateurs","['FPS', 'Jeux de tir', 'Action']"
Street Fighter 6,"53,8 k spectateurs","['Combat', 'Arcade']"
