Jeu,Titre,Chaîne,Nombre de vues,Date de la mise en ligne,Lien de la vidéo
League of Legends,The Mageseeker: A League of Legends Story | Official Teaser Trailer,Riot Forge,520000,il y a 4 jours,https://www.youtube.com/watch?v=MsqRA3cRRWg
League of Legends,2023 LEC Winter - Playoffs - Round 2 - MAD vs SK,LEC,417000,Diffusé il y a 1 jour,https://www.youtube.com/watch?v=1wsUK891UtI
League of Legends,These 2 are BREAKING League of Legends together...,Vandiril,357000,il y a 6 jours,https://www.youtube.com/watch?v=LrIPVg7H39U
League of Legends,MILIO & NAAFIRI NEW CHAMPIONS TEASERS & RELEASE DATE - League of Legends,Remus,245000,il y a 2 jours,https://www.youtube.com/watch?v=yLghTndW7CE
League of Legends,Yuumi Rework 2023 - League of Legends,Ryscu,205000,il y a 1 jour,https://www.youtube.com/watch?v=QES5WwFb6Og
League of Legends,Milio Release Date - League of Legends New Champion,Ryscu,146000,il y a 6 jours,https://www.youtube.com/watch?v=Ahi9vwuhd4s
League of Legends,Top hightlight | League of Legends | Part 1021,ELEVATOR FF,40000,Diffusé il y a 4 jours,https://www.youtube.com/watch?v=ppEkEsFQL-Y
League of Legends,Broken Covenant Cho'gath Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,308000,il y a 3 jours,https://www.youtube.com/watch?v=KeJSh6U90eA
League of Legends,Why These Champions Almost Never Get Nerfed | League of Legends,Vars,89000,il y a 5 jours,https://www.youtube.com/watch?v=YpDuruR2cIg
League of Legends,FLY vs 100 | Week 5 Day 1 S13 LCS Spring 2023 | FlyQuest vs 100 Thieves W5D1 Full Game,EpicSkillshot - LoL VOD Library,61000,il y a 2 jours,https://www.youtube.com/watch?v=Pch-Hz1nJ-Q
League of Legends,T1 vs KT - NS vs LSB | 2023 LCK Spring Split,LCK Global,582000,Diffusé il y a 1 jour,https://www.youtube.com/watch?v=hdilqZcs21E
League of Legends,Us Presidents Play League Of Legends,CuKumbar,62000,il y a 4 jours,https://www.youtube.com/watch?v=RDRYFcg0vKo
League of Legends,Top hightlight | League of Legends | Part 1027,ELEVATOR FF,29000,Diffusé il y a 3 jours,https://www.youtube.com/watch?v=ORo27HCQX00
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages ST2,مؤمل /mumil,27000,Diffusé il y a 2 jours,https://www.youtube.com/watch?v=uIYBi63V98c
League of Legends,Broken Covenant Riven Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,169000,il y a 3 jours,https://www.youtube.com/watch?v=nTeST9BserE
League of Legends,"LEAGUE OF LEGENDS, BUT WE HAVE TO ANNOUNCE OUR GANKS IN /ALL CHAT",For Fun Squad,60000,il y a 5 jours,https://www.youtube.com/watch?v=iFUTwTSrRT4
League of Legends,Top hightlight | League of Legends | Part 92,ELEVATOR FF,22000,il y a 3 jours,https://www.youtube.com/watch?v=ch_FbvhP0as
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 31,مؤمل /mumil,22000,il y a 1 jour,https://www.youtube.com/watch?v=o_AhdaJWPWg
League of Legends,Top hightlight | League of Legends | Part 1028,ELEVATOR FF,25000,Diffusé il y a 1 jour,https://www.youtube.com/watch?v=usUUX-PKLZc
League of Legends,Movement Speed Warwick Is The FUNNEST Build In League Of Legends,RossBoomsocks,52000,il y a 4 jours,https://www.youtube.com/watch?v=d9FvGdMIEEE
League of Legends,100 vs TL | Week 5 Day 2 S13 LCS Spring 2023 | 100 Thieves vs Team Liquid W5D2 Full Game,EpicSkillshot - LoL VOD Library,71000,il y a 1 jour,https://www.youtube.com/watch?v=DuZQ9L8Gds0
League of Legends,Top hightlight | League of Legends | Part 94,ELEVATOR FF,19000,il y a 3 jours,https://www.youtube.com/watch?v=iWcJ0f0HPTY
League of Legends,3 BEST SOLO CARRY Champions for EVERY ROLE on PATCH 13.4!,Skill Capped Challenger LoL Guides,80000,il y a 5 jours,https://www.youtube.com/watch?v=dJPE_s32ClQ
League of Legends,Top hightlight | League of Legends | Part 100,ELEVATOR FF,21000,il y a 2 jours,https://www.youtube.com/watch?v=9Avtc0zJ-vY
League of Legends,New chat feature for League of Legends,Matty Love Gaming,94000,il y a 4 jours,https://www.youtube.com/watch?v=zuX7_Sn16Eo
League of Legends,How A Streamer Was Trolled Into Playing A 3 HOUR GAME of League of Legends,Nicolai,88000,il y a 4 jours,https://www.youtube.com/watch?v=G0fyzUN4OyM
League of Legends,Prestige Broken Covenant Miss Fortune Skin Spotlight - Pre-Release - PBE Preview - League of Legends,SkinSpotlights,118000,il y a 3 jours,https://www.youtube.com/watch?v=n9aq1uwN75k
League of Legends,Top hightlight | League of Legends | Part 1024,ELEVATOR FF,18000,Diffusé il y a 3 jours,https://www.youtube.com/watch?v=vM_uaru8lUY
League of Legends,Top hightlight | League of Legends | Part 1025,ELEVATOR FF,17000,Diffusé il y a 3 jours,https://www.youtube.com/watch?v=CeNwQHqVYYg
League of Legends,Tyler1 vs. League of Legends,theScore esports,64000,il y a 7 jours,https://www.youtube.com/watch?v=vCOwyd750t4
League of Legends,These VEIGAR BUFFS make him feel OP | 13.4 - League of Legends,PekinWoof,38000,il y a 2 jours,https://www.youtube.com/watch?v=6p75dfMHddg
League of Legends,Enemy Riven's Auto Attacks HEAL ME!? NEW Buffed Malphite HAS TOO Much Armor! - League of Legends,SoloRenektonOnly,35000,il y a 2 jours,https://www.youtube.com/watch?v=y--I8ZM6CUw
League of Legends,New BABY feature added to League of Legends,Matty Love Gaming,81000,il y a 3 jours,https://www.youtube.com/watch?v=o5kkKQWBWt4
League of Legends,Top hightlight | League of Legends | Part 1023,ELEVATOR FF,16000,Diffusé il y a 4 jours,https://www.youtube.com/watch?v=Vrt0royLRdA
League of Legends,[LOL] Summary Highlights League of Legends | Top Stages Part 28,مؤمل /mumil,15000,il y a 2 jours,https://www.youtube.com/watch?v=BDKbpFsQsY4
